ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Sussex ICB - 09D ,G81001,Hove Medical Centre,7.6203,74.0072,71.4286,2.8499,4.6787,2.3019,3.5076,68.5121,76,93.9024,0.6248,1.362,19.445,7.2191,14.8526,83.8068,74.8754,0.7015,0.8221,9.4262,0.5188,89.8007,88.2682,81.25,92.7083,14.3493,2.0059,9029
Sussex ICB - 09D ,G81006,Ardingly Court Surgery,6.8579,62.9213,52.1008,2.9394,4.6771,2.8465,4.2389,56.917,65.4206,94.7368,0.4796,2.164,31.334,5.4596,12.5928,78.6765,63.2743,0.789,2.4288,11.0471,3.2046,89.0503,86.8421,80.3571,85.7143,21.7539,1.841,7563
Sussex ICB - 09D ,G81011,St Peter's Medical Centre,7.7029,59.6987,61.8421,2.5192,2.227,2.6204,2.86,56.4607,69.6165,84.2593,0.3835,1.318,27.783,5.864,10.0927,79.6774,64.5426,0.6498,2.2209,8.537,0.2183,75.557,83.8095,75.1553,88.1988,23.6924,1.4274,19570
Sussex ICB - 09D ,G81014,Carden Surgery,6.4985,74.1935,73.125,2.4345,3.7454,2.0556,3.2499,72.6923,73.6486,87.8378,0.689,3.375,16.09,5.7625,11.5641,72.4576,60.3113,0.6546,0.8957,12.3612,0.6467,89.6502,79.0698,81.6901,91.5493,15.5961,1.4699,7484
Sussex ICB - 09D ,G81018,Preston Park Surgery,6.6617,76.8707,83.3333,1.5922,3.0422,1.1486,3.2715,72.1854,80.2419,93.421,0.4832,1.497,14.385,3.559,9.1413,71.6738,61.6721,0.4436,1.2833,4.6737,0.5554,82.0741,83.7607,85.1852,90.7407,15.6115,1.0535,9473
Sussex ICB - 09D ,G81028,Park Crescent Health Centre,6.9141,66.436,61.6935,1.9061,3.27,1.8188,2.613,62.0763,70.5179,86.5169,0.4765,0.703,25.315,5.0862,9.9277,82.4468,69.8682,0.4606,1.3819,8.8973,0.1533,82.1834,78.75,73.4043,88.2979,22.4217,1.2231,11354
Sussex ICB - 09D ,G81034,Charter Medical Centre,5.8539,70.8108,66.6667,2.0118,2.406,1.151,2.9938,68.9815,73.951,85.2018,0.6153,0.257,14.964,4.2029,8.9654,76.7213,68.7557,0.4846,1.1892,7.0453,0.2342,81.2259,79.1541,73.4104,83.237,13.8442,1.2626,26027
Sussex ICB - 09D ,G81036,Warmdene Surgery,6.0474,78.1145,85.6502,2.638,7.3966,1.4846,5.0304,78.4672,83.0688,98.1482,1.1535,1.611,10.913,6.2411,17.0458,82.4074,71.4777,0.4272,0.9506,9.7741,1.6966,89.8908,78.9744,79.4872,89.7436,9.3313,1.9972,8428
Sussex ICB - 09D ,G81038,Stanford Medical Centre,4.9369,71.3178,79.9296,1.6068,3.2871,1.1361,3.2515,61.3419,77.7778,83.3333,0.5789,1.123,18.888,4.0447,9.1214,84.0314,65.9509,0.5735,0.9251,8.4416,1.8953,81.959,79.8995,85.9813,90.6542,15.7476,1.0604,14300
Sussex ICB - 09D ,G81042,Beaconsfield Medical Practice,6.6667,77.0455,80.5233,2.5863,2.7979,1.1198,3.6917,74.5263,77.8816,94,0.5924,1.329,10.356,4.5212,12.0358,73.9003,61.8113,0.5491,1.0764,5.4297,0.2286,82.1493,72.8477,68.6047,83.7209,10.819,1.3654,11281
