ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
North Central London ICB - 93C ,E83003,Oakleigh Road Health Centre,5.4143,73.9865,76.8182,2.612,3.8154,1.359,4.3084,70.4301,79.0576,80.531,0.694,1.26,14.858,6.6078,13.6096,81.2709,64.4205,0.4337,0.9928,12.6817,1.8842,87.386,85.5615,71.5789,87.3684,11.8607,1.5614,9471
North Central London ICB - 93C ,E83005,Lichfield Grove Surgery,3.7374,67.7419,58.5859,2.1088,3.8307,1.0303,2.9298,58.2237,71.2766,93.617,0.7727,1.203,16.13,5.5545,9.5299,87.0968,74.1419,0.3863,1.0464,11.8933,1.0181,77.2865,79.4643,87.7551,93.8776,12.8995,1.2556,5417
North Central London ICB - 93C ,E83006,Greenfield Medical Centre,4.5258,64.5714,59.1549,2.4273,3.2571,1.4536,3.9515,56.2278,69.2308,70.5882,0.7621,0.901,27.56,6.769,11.2052,80.8743,69.7218,0.6068,1.2137,12.2661,0.7775,88.7955,87.5,76.0563,84.507,15.9336,1.3548,7130
North Central London ICB - 93C ,E83007,Squires Lane Medical Practice,4.1864,63.5762,58.1818,2.8061,2.6557,1.4521,3.3948,57.3604,71.875,78.0488,0.6868,1.449,21.094,9.3067,14.2072,80.7947,67.8883,0.314,1.2363,14.7996,0.6169,80.6136,85.7143,77.2152,84.8101,14.5463,1.2755,5085
North Central London ICB - 93C ,E83008,Heathfielde Medical Centre,4.2025,66.3793,61.0169,2.871,3.7151,0.4608,3.9934,61.9048,66.2577,89.0909,0.3308,0.276,12.343,5.3305,11.2358,78.4091,75.9825,0.1418,0.6616,5.7415,0.6854,79.1589,83.4783,81.6667,91.6667,6.564,1.3823,6643
North Central London ICB - 93C ,E83009,Phgh Doctors,3.7454,66.8712,59.9174,3.035,5.7582,0.5227,5.0168,56.5315,69.2641,96.9466,0.788,0.97,16.562,5.119,11.2897,78.9227,58.4314,0.2731,1.1469,7.1219,2.4749,86.1786,79.9107,85.8696,90.2174,8.0069,1.5916,10659
North Central London ICB - 93C ,E83010,The Speedwell Practice,4.3589,70.0906,72.2467,2.7331,3.9163,0.9727,4.4132,65.6118,78.4211,82.5688,1.045,1.663,15.776,7.1506,13.0868,77.3913,64.6921,0.635,1.8087,11.1278,2.2744,84.3726,83.3333,83.4711,93.3884,12.8651,1.7444,11550
North Central London ICB - 93C ,E83011,The Everglade Medical Practice,4.5859,57.513,53.6585,1.57,2.4322,1.2252,2.0238,55.5556,65.8683,71.1864,0.118,2.432,27.591,7.6035,9.4292,80.6122,70.882,0.6625,1.2433,14.1627,0.4708,84.0496,85.7988,81.8182,90.0826,14.8821,0.9257,10090
North Central London ICB - 93C ,E83012,The Old Court House Surgery,5.0985,71.0884,67.1498,2.4113,4.9915,1.3331,4.4011,68.4636,75.7895,83.7607,0.7744,1.652,14.432,7.0428,14.1247,65.5786,57.6087,0.5489,1.2154,9.8737,2.0697,83.5972,84.7291,73.7374,83.8384,9.9754,1.6663,10071
North Central London ICB - 93C ,E83013,Cornwall House Surgery,3.5753,68.3544,76.9912,2.2491,3.4307,0.7838,3.7144,65.1982,73.2673,94.5946,0.6815,1.858,14.846,5.5241,10.7003,67.2619,57.8261,0.6134,1.0564,10.5779,0.9676,78.7796,87.234,82.0513,84.6154,11.7914,1.2438,5363
North Central London ICB - 93C ,E83016,Millway Medical Practice,5.2627,68.6833,65.625,2.8354,4.4892,1.0138,4.1521,68.4758,73.6573,88.6288,0.5301,1.629,16.176,6.6649,12.6583,80.3519,69.4886,0.4417,0.9549,13.0155,2.8235,88.7738,84.6667,80,92.093,8.7942,1.4387,19452
North Central London ICB - 93C ,E83017,Longrove Surgery,5.7759,70.3971,66.3342,2.7567,4.3528,1.441,4.6534,68.0921,77.1978,83.5616,0.7575,1.551,15.292,7.1469,15.1962,79.3919,67.9672,0.7689,1.0822,12.1864,1.5178,81.5081,83.237,76.2162,90.2703,10.3404,1.6347,17946
North Central London ICB - 93C ,E83018,Watling Medical Centre,4.2693,64.1851,60.929,2.3016,3.7144,0.881,3.1551,55.6338,66.3522,71.7791,0.402,1.006,23.507,8.3922,13.6942,79.4118,66.1363,0.4405,0.7819,10.8056,0.7279,81.8774,89.4602,84.6847,94.1441,11.826,1.2995,17004
North Central London ICB - 93C ,E83020,St. Georges Medical Centre,4.3751,69.6154,63.5897,2.5917,3.3696,0.7369,3.3535,62.069,73.3333,84.9558,0.5548,1.299,21.317,6.5059,12.0063,84.1216,67.5043,0.4057,1.4822,11.5982,1.9568,87.3502,90.5,89.1892,94.5946,13.6044,1.2752,10449
North Central London ICB - 93C ,E83021,Torrington Park Group Practice,4.3998,67.3295,69.8842,2.522,5.0832,0.8883,3.7513,59.9585,69.6581,88,0.5948,1.704,15.747,6.328,13.0066,80.8411,65.7591,0.4362,1.61,8.9548,0.6094,77.6819,79.0698,77.1186,83.0508,12.4013,1.4038,12906
North Central London ICB - 93C ,E83024,St andrews Medical Practice.,5.1411,70.8333,76.4228,3.0538,3.5018,1.4366,4.4473,65.1659,72.3214,91.4894,1.2301,1.368,10.525,6.2639,12.9462,81.153,66.8881,0.4387,1.1183,8.0056,1.9115,79.8165,79.6875,70.0935,85.9813,8.6925,1.7462,11056
North Central London ICB - 93C ,E83025,Pennine Drive Practice,5.0391,62.7907,58.7097,2.1435,3.9222,0.8322,3.2909,59.3407,68.6567,73.913,0.517,0.622,28.522,8.3869,12.2431,72.2772,60.3381,0.7187,1.0717,11.6231,0.5281,80.799,85,71.4286,82.6531,12.3959,1.5004,7533
North Central London ICB - 93C ,E83026,Supreme Medical Centre,3.1057,63.1944,62.3656,3.2823,4.0545,0.7157,4.2942,56.1644,67.5,93.75,0.3455,1.391,15.907,8.409,11.9447,84.7458,74.0437,0.2715,1.0365,8.4936,1.7835,76.6067,80.8511,78.5714,85.7143,8.4567,1.234,4113
North Central London ICB - 93C ,E83027,The Practice at 188,2.8893,50.5682,47.3282,2.1737,2.3644,0.7312,2.965,49.8592,60.6061,82.3529,2.0635,2.8,24.789,6.3184,10.9586,73.2733,54.1393,0.561,1.9433,6.9168,1.1171,70.8939,81.1765,77.451,86.2745,12.8786,1.4625,9803
North Central London ICB - 93C ,E83028,Parkview Surgery,5.1041,56.129,60.5263,1.9462,3.2903,1.5032,2.4525,63.6,72.381,68.6275,0.1266,2.77,28.523,9.9694,11.8987,69.2308,61.1276,0.4905,0.981,15.5144,1.1501,85.4499,79.5276,81.5217,90.2174,14.9971,1.0601,6028
